"query","search interest","increase percent"
"áo dài 2026",1,"Breakout"
"edini áo dài",0,"300%"
"áo dài kim sa",0,"250%"
"áo dài lam khuê",0,"170%"
"áo dài ngũ thân nữ",0,"140%"
"áo dài ngũ thân",1,"140%"
"áo ngũ thân",1,"140%"
"áo dài tăng thanh hà",0,"110%"
"áo dài 4 tà",0,"80%"
"áo đại bàng",0,"70%"
"hình ảnh cô giáo mặc áo dài",0,"60%"
"áo dài hà cúc",0,"50%"
"thuê áo dài gần đây",0,"40%"
"áo dài tết",4,"40%"
"cap áo dài",0,"30%"
"áo dài màu vàng",1,"30%"
"phụ kiện áo dài",0,"20%"
"áo dài bé trai",0,"20%"
"áo dài màu hồng",1,"20%"
"mặc áo dài",12,"20%"
"áo dài xéo xọ",0,"20%"
"奧 黛",0,"20%"
"áo dài hồng",2,"20%"
"áo dài xanh ngọc",0,"20%"
"kiểu tóc mặc áo dài",1,"10%"
"áo dài vàng",2,"10%"
"áo dài xanh",3,"10%"
"áo dài xanh cổ vịt",0,"10%"
"thuê áo dài nam",0,"10%"
"áo dài cô ba",0,"10%"
"áo dài lụa",1,"10%"
"quần áo dài",5,"10%"
"chụp áo dài",4,"10%"
"ảnh áo dài",5,"10%"
"áo dài cách tân dáng suông",0,"9%"
"ao dai vietnam",0,"8%"
"vải may áo dài",1,"8%"
"thuê áo dài",4,"8%"
"áo dài cho bé",1,"8%"
"áo dài màu xanh",1,"8%"
"áo dài đẹp",6,"7%"
"áo dài đỏ",3,"7%"
"áo đai",1,"6%"
"áo dài suông",1,"6%"
"áo dài",100,"5%"
"chụp ảnh áo dài",2,"5%"
"áo dài đen",1,"3%"
"hình ảnh áo dài",1,"3%"
"áo dài trẻ em",1,"3%"
"áo dài trung quốc",1,"3%"
