"query","search interest","increase percent"
"haute couture 2026",9,"Breakout"
"libre vanille couture",3,"Breakout"
"phan huy",2,"Breakout"
"libre vanilla couture",2,"Breakout"
"chanel haute couture 2026",1,"Breakout"
"ysl vanille couture",1,"Breakout"
"crystal couture dti",1,"Breakout"
"ysl libre vanille couture",1,"Breakout"
"cinematic couture",1,"Breakout"
"underwater couture",1,"Breakout"
"ysl libre vanilla couture",1,"Breakout"
"what is couture",20,"1,750%"
"linhnga couture",0,"1,200%"
"dior haute couture 2026",2,"350%"
"váy haute couture",4,"250%"
"crystal couture",4,"140%"
"le jardin hotel & spa",2,"140%"
"linh nga couture",4,"120%"
"randy couture",2,"50%"
"hacchic couture",6,"50%"
"couture meaning",4,"50%"
"couture fashion",15,"40%"
"kim couture",5,"40%"
"yaly couture hoi an",9,"40%"
"yaly couture",20,"40%"
"le jardin hotel haute couture hanoi",6,"40%"
"couture là gì",24,"30%"
"dior haute couture",8,"30%"
"couture pronunciation",1,"30%"
"haute couture fashion",8,"30%"
"juicy couture viva la juicy",3,"20%"
"dior",23,"20%"
"tracy couture",2,"20%"
"haute couture là gì",12,"20%"
"haute couture",100,"10%"
"dior couture",23,"10%"
"haute couture chanel",5,"8%"
"juicy couture",41,"7%"
"le jardin hotel haute couture",19,"2%"
"maison margiela",2,"-1%"
"ysl",23,"-1%"
"christian dior couture",4,"-3%"
"lotus couture",1,"-6%"
"haute couture meaning",1,"-10%"
"ysl rouge pur couture lipstick",4,"-20%"
"elie saab",2,"-20%"
"juicy couture perfume",2,"-20%"
"nước hoa juicy couture",3,"-20%"
"son ysl rouge pur couture",6,"-20%"
"haute couture brands",1,"-30%"
