"query","search interest","increase percent"
"evening dress",100,"400%"
"evening gown dress",10,"300%"
"evening gown",35,"60%"
"evening gowns",14,"20%"
"đầm dạ hội tuổi trung niên",1,"10%"
"áo đầm dạ hội",9,"-20%"
"thuê đầm dạ hội",4,"-20%"
"đầm dạ hội trung niên",6,"-30%"
"váy dạ hội",8,"-30%"
"evening gown là gì",1,"-30%"
"đầm dạ hội",74,"-30%"
"đầm dạ hội cao cấp",5,"-30%"
"đầm dạ hội đẹp",8,"-30%"
"dam da hoi",5,"-40%"
"đầm dạ hội dự tiệc",3,"-40%"
"đầm dạ hội đuôi cá",2,"-50%"
"mẫu đầm dạ hội",6,"-50%"
"đầm dự tiệc",3,"-50%"
"vẽ đầm dạ hội",2,"-60%"
"đầm dạ hội đẹp nhất",2,"-70%"
