"query","search interest","increase percent"
"fado",0,"Breakout"
"azulejo",0,"Breakout"
"busan",0,"Breakout"
"coq au vin",0,"3,550%"
"onigiri",0,"2,600%"
"áo dài đất lành",0,"2,550%"
"pineapple isle",0,"2,300%"
"panna cotta",0,"2,250%"
"pho ho chi minh mekong delta ao dai",0,"1,500%"
"fado meaning",0,"1,400%"
"ethiopian spongy flatbread",0,"1,300%"
"azulejo meaning",0,"1,250%"
"vải áo dài đất lành",0,"1,200%"
"pho ho chi minh mekong delta ao dai cookie jam",0,"1,000%"
"ethiopian spongy flatbread cookie jam",0,"950%"
"frying saute sauce",0,"850%"
"greek alphabet",0,"750%"
"aodai shirt",0,"700%"
"small usually sweet toppings for pastries",0,"700%"
"frying saute sauce cookie jam",0,"500%"
"small usually sweet toppings for pastries cookie jam",0,"500%"
"celebrations in every slice",0,"300%"
"bộ sưu tập áo dài thư từ phố thị",0,"250%"
"áo dài ngũ thân",1,"140%"
"áo ngũ thân",1,"140%"
"hanoi",0,"90%"
"аозай",0,"70%"
"hanbok",0,"60%"
"pho",0,"60%"
"áo dài tết",5,"60%"
"ao dai meaning",0,"50%"
"áo dây",1,"50%"
"ai dai",1,"50%"
"áo đại bàng",0,"50%"
"aodai vietnam",0,"40%"
"vietnam ao dai",2,"30%"
"áo dài hà cúc",0,"30%"
"thuê áo dài",4,"20%"
"cheongsam",0,"20%"
"modern ao dai",0,"20%"
"aodai",1,"20%"
"kiểu tóc mặc áo dài",1,"20%"
"ao dai vietnam",2,"20%"
"saigon",0,"20%"
"奧 黛",2,"20%"
"áo dài hồng",2,"20%"
"奧 黛 越南",1,"20%"
"thuê áo dài gần đây",0,"20%"
"vietnam",3,"20%"
"奥 黛",1,"20%"
