"query","search interest","increase percent"
"haute couture",100,"10%"
"juicy couture",41,"7%"
"couture là gì",24,"30%"
"ysl",23,"-1%"
"dior",23,"20%"
"dior couture",23,"10%"
"what is couture",20,"1,750%"
"yaly couture",20,"40%"
"le jardin hotel haute couture",19,"2%"
"versace couture",15,"-40%"
"versace",15,"-40%"
"couture fashion",15,"40%"
"rouge pur couture",14,"-30%"
"haute couture là gì",12,"20%"
"ysl rouge pur couture",12,"-30%"
"versace jeans couture",11,"-40%"
"haute couture 2026",9,"Breakout"
"yaly couture hoi an",9,"40%"
"dior haute couture",8,"30%"
"son ysl",8,"-30%"
"haute couture fashion",8,"30%"
"le jardin hotel haute couture hanoi",6,"40%"
"son ysl rouge pur couture",6,"-20%"
"hacchic couture",6,"50%"
"haute couture chanel",5,"8%"
"kim couture",5,"40%"
"linh nga couture",4,"120%"
"couture meaning",4,"50%"
"váy haute couture",4,"250%"
"christian dior couture",4,"-3%"
"ysl rouge pur couture lipstick",4,"-20%"
"crystal couture",4,"140%"
"libre vanille couture",3,"Breakout"
"juicy couture viva la juicy",3,"20%"
"nước hoa juicy couture",3,"-20%"
"ysl rouge pur couture the slim",3,"-50%"
"elie saab",2,"-20%"
"túi versace jeans couture",2,"-40%"
"phan huy",2,"Breakout"
"tiktok couture",2,"-70%"
"dior haute couture 2026",2,"350%"
"le jardin hotel & spa",2,"140%"
"randy couture",2,"50%"
"maison margiela",2,"-1%"
"tracy couture",2,"20%"
"juicy couture perfume",2,"-20%"
"versace jeans couture bag",2,"-50%"
"libre vanilla couture",2,"Breakout"
"couture pronunciation",1,"30%"
"chanel haute couture 2026",1,"Breakout"
