"query","search interest","increase percent"
"evening dress",100,"400%"
"đầm dạ hội",74,"-30%"
"evening gown",35,"60%"
"evening gowns",14,"20%"
"evening gown dress",10,"300%"
"áo đầm dạ hội",9,"-20%"
"đầm dạ hội đẹp",8,"-30%"
"váy dạ hội",8,"-30%"
"đầm dạ hội trung niên",6,"-30%"
"mẫu đầm dạ hội",6,"-50%"
"dam da hoi",5,"-40%"
"đầm dạ hội cao cấp",5,"-30%"
"thuê đầm dạ hội",4,"-20%"
"đầm dạ hội dự tiệc",3,"-40%"
"đầm dự tiệc",3,"-50%"
"đầm dạ hội đẹp nhất",2,"-70%"
"đầm dạ hội đuôi cá",2,"-50%"
"vẽ đầm dạ hội",2,"-60%"
"evening gown là gì",1,"-30%"
"đầm dạ hội tuổi trung niên",1,"10%"
