"query","search interest","increase percent"
"áo dài",100,"-9%"
"ao dai",22,"-8%"
"áo dài nam",11,"-10%"
"áo dài việt nam",6,"-20%"
"áo dài đẹp",6,"-10%"
"ảnh áo dài",5,"5%"
"アオザイ",5,"-20%"
"áo dài nữ",5,"-1%"
"áo dài tết",5,"60%"
"thuê áo dài",4,"20%"
"vẽ áo dài",4,"-20%"
"áo dài cách tân",4,"-20%"
"áo dài trắng",3,"-7%"
"mẫu áo dài",3,"-20%"
"vietnam",3,"20%"
"áo dài đỏ",3,"3%"
"áo dài tay",3,"-4%"
"vải áo dài",3,"-9%"
"vietnam ao dai",2,"30%"
"áo dài truyền thống",2,"-6%"
"áo dài cưới",2,"2%"
"ao dai vietnam",2,"20%"
"áo dài học sinh",2,"-20%"
"áo dài hồng",2,"20%"
"奧 黛",2,"20%"
"ao dai vietnamese",2,"10%"
"vietnamese ao dai",2,"10%"
"ao dai dress",2,"9%"
"ベトナム",1,"-10%"
"アオザイ ベトナム",1,"-10%"
"cho thuê áo dài",1,"3%"
"áo dài gấm",1,"-5%"
"aodai",1,"20%"
"ao dai nam",1,"-20%"
"mẫu áo dài đẹp",1,"-30%"
"vải may áo dài",1,"2%"
"áo ngũ thân",1,"140%"
"áo dài ngũ thân",1,"140%"
"áo dài huế",1,"-10%"
"ao dai men",1,"7%"
"아오자이",1,"-10%"
"wedding ao dai",1,"-1%"
"奥 黛",1,"20%"
"áo đai",1,"-4%"
"奧 黛 越南",1,"20%"
"áo dài thái tuấn",1,"-20%"
"kiểu tóc mặc áo dài",1,"20%"
"áo dài suông",1,"1%"
"áo dây",1,"50%"
"ai dai",1,"50%"
