"query","search interest","increase percent"
"juicy",100,"-20%"
"juicy couture",99,"-20%"
"haute couture",26,"-8%"
"couture 2025",25,"350%"
"minky couture",14,"30%"
"couture club",12,"-3%"
"juicy couture bag",10,"-5%"
"versace",8,"-30%"
"versace couture",8,"-30%"
"patron couture",7,"-30%"
"essie gel couture",7,"20%"
"juicy couture tracksuit",7,"-40%"
"couture meaning",7,"-5%"
"juicy couture set",7,"30%"
"dior couture",7,"10%"
"kit couture",7,"170%"
"tuto couture",7,"-30%"
"versace jeans couture",6,"-10%"
"juicy couture perfume",6,"-30%"
"co couture",6,"4%"
"rose couture",5,"10%"
"juicy couture viva la juicy",4,"10%"
"couture film",4,"180%"
"randy couture",4,"-2%"
"hot couture",4,"20%"
"cookie couture",4,"90%"
"libre vanille couture",4,"Breakout"
"the couture club",4,"5%"
"terani couture",4,"300%"
"med couture",4,"-20%"
"minky couture blanket",3,"120%"
"chanel",3,"-1%"
"natural couture",3,"160%"
"juicy couture purse",3,"-30%"
"couture movie",3,"200%"
"cours de couture",3,"-10%"
"ysl vanille couture",2,"Breakout"
"crystal couture",2,"30%"
"cap couture",2,"60%"
"couture candy",2,"-8%"
"gameday couture",2,"10%"
"candy couture",2,"-10%"
"atelier de couture",2,"-10%"
"essie gel couture nail polish",2,"190%"
"louis vuitton",2,"140%"
"juicy couture shoes",2,"80%"
"patron couture gratuit",2,"-20%"
"juicy couture bags",2,"-20%"
"key couture",2,"300%"
"ysl libre vanille couture",2,"Breakout"
