"query","search interest","increase percent"
"dress",100,"40%"
"evening dress",74,"40%"
"dresses",62,"20%"
"evening dresses",47,"10%"
"evening gown",38,"30%"
"robe",34,"-40%"
"abendkleid",24,"-30%"
"abendkleider",21,"-30%"
"evening gowns",20,"-8%"
"formal dress",20,"60%"
"formal gown",20,"30%"
"robe soirée",19,"-40%"
"long gown",18,"8%"
"long evening dress",16,"150%"
"robe de soirée",16,"-30%"
"formal dresses",15,"80%"
"evening wear",14,"8%"
"black evening dress",12,"70%"
"robe soiree",11,"-40%"
"فساتين سهرة",9,"-20%"
"vestido de fiesta",8,"400%"
"robe de soiree",8,"-30%"
"long evening dresses",7,"50%"
"שמלות ערב",7,"-30%"
"formal evening dresses",6,"30%"
"dinner dress",6,"-7%"
"elegant dresses",5,"60%"
"black evening dresses",5,"30%"
"red evening dress",5,"110%"
"black evening gown",5,"30%"
"white evening dress",5,"120%"
"вечернее платье",5,"-30%"
"long sleeve evening dress",5,"100%"
"evening dresses for women",5,"20%"
"shein",4,"-30%"
"sukienka wieczorowa",4,"-20%"
"evening dress for women",4,"50%"
"vestido de noche",4,"-10%"
"vestidos de noche",4,"8%"
"zara",4,"-30%"
"فستان سهرة",4,"-20%"
"لباس شب",4,"-30%"
"gold evening dress",4,"160%"
"evening gown dresses",4,"-20%"
"asos",3,"-20%"
"evening dresses uk",3,"-1%"
"abendkleider lang",3,"-40%"
"вечерние платья",3,"30%"
"black formal gown",3,"90%"
"formal evening gowns",3,"20%"
