"Time","Bespoke","evening wear","Evening gown","Áo dài","couture"
"2025-06-08",0,0,1,20,1
"2025-06-15",0,0,1,18,2
"2025-06-22",0,0,1,19,2
"2025-06-29",0,0,1,22,1
"2025-07-06",0,0,1,25,1
"2025-07-13",0,0,0,24,1
"2025-07-20",0,0,0,24,1
"2025-07-27",0,0,1,26,1
"2025-08-03",0,0,1,28,1
"2025-08-10",0,0,0,30,1
"2025-08-17",0,0,1,30,1
"2025-08-24",0,0,0,31,1
"2025-08-31",0,0,0,40,1
"2025-09-07",0,0,0,27,1
"2025-09-14",0,0,1,28,1
"2025-09-21",0,0,0,32,1
"2025-09-28",0,0,0,36,1
"2025-10-05",0,0,1,42,1
"2025-10-12",0,0,1,46,1
"2025-10-19",0,0,1,50,1
"2025-10-26",0,0,1,50,1
"2025-11-02",0,0,1,42,1
"2025-11-09",0,0,1,50,1
"2025-11-16",0,0,1,42,2
"2025-11-23",0,0,1,39,1
"2025-11-30",0,0,1,37,1
"2025-12-07",0,0,1,40,1
"2025-12-14",0,0,1,43,1
"2025-12-21",0,0,1,50,1
"2025-12-28",0,0,1,55,1
"2026-01-04",0,0,1,56,1
"2026-01-11",0,0,1,66,1
"2026-01-18",0,0,1,67,1
"2026-01-25",0,0,1,88,2
"2026-02-01",0,0,1,100,2
"2026-02-08",0,0,11,64,5
"2026-02-15",0,0,17,53,6
"2026-02-22",1,0,3,43,2
"2026-03-01",0,0,1,54,1
"2026-03-08",0,0,1,35,1
"2026-03-15",0,0,1,33,1
"2026-03-22",0,0,1,32,1
"2026-03-29",0,0,1,26,1
"2026-04-05",0,0,2,25,2
"2026-04-12",1,0,2,25,2
"2026-04-19",0,0,1,25,2
"2026-04-26",0,0,1,25,1
"2026-05-03",0,0,1,23,1
"2026-05-10",0,0,1,24,1
"2026-05-17",0,0,1,26,1
"2026-05-24",0,0,1,23,1
"2026-05-31",0,0,1,23,1
"2026-06-07",0,0,1,23,1
