"Time","Bespoke","evening wear","Evening gown","Áo dài","couture"
"2025-06-08",2,0,25,5,45
"2025-06-15",2,0,24,5,43
"2025-06-22",2,0,26,5,44
"2025-06-29",2,0,24,5,43
"2025-07-06",2,0,26,5,51
"2025-07-13",2,0,26,5,47
"2025-07-20",3,0,26,5,48
"2025-07-27",3,0,28,6,48
"2025-08-03",3,0,30,6,50
"2025-08-10",3,0,31,6,52
"2025-08-17",3,0,33,6,52
"2025-08-24",2,0,31,6,50
"2025-08-31",3,0,31,7,51
"2025-09-07",3,0,32,6,51
"2025-09-14",2,0,32,6,52
"2025-09-21",2,0,31,7,54
"2025-09-28",2,0,32,7,56
"2025-10-05",2,0,30,7,54
"2025-10-12",2,0,31,9,56
"2025-10-19",2,0,32,9,57
"2025-10-26",3,0,28,9,54
"2025-11-02",3,0,32,8,56
"2025-11-09",3,0,32,8,59
"2025-11-16",3,0,34,8,60
"2025-11-23",3,0,30,8,71
"2025-11-30",3,0,30,7,66
"2025-12-07",3,0,28,9,66
"2025-12-14",3,0,24,10,63
"2025-12-21",2,0,23,12,63
"2025-12-28",3,0,23,14,57
"2026-01-04",3,0,26,13,61
"2026-01-11",3,0,28,15,55
"2026-01-18",4,0,28,16,57
"2026-01-25",3,0,27,17,66
"2026-02-01",3,0,33,19,62
"2026-02-08",3,0,86,14,73
"2026-02-15",4,0,100,12,75
"2026-02-22",4,0,62,11,66
"2026-03-01",4,0,34,10,56
"2026-03-08",4,0,33,7,56
"2026-03-15",4,0,31,7,55
"2026-03-22",4,0,31,6,62
"2026-03-29",4,0,35,7,71
"2026-04-05",4,0,36,7,77
"2026-04-12",4,0,36,6,81
"2026-04-19",4,0,37,6,74
"2026-04-26",4,0,39,5,71
"2026-05-03",3,0,40,5,81
"2026-05-10",4,0,39,6,82
"2026-05-17",3,0,38,6,66
"2026-05-24",3,0,34,6,59
"2026-05-31",3,0,34,5,50
"2026-06-07",3,0,32,5,50
