"query","search interest","increase percent"
"lidl near me",0,"Breakout"
"evening gowns ireland",0,"1,050%"
"vestido de fiesta",8,"400%"
"vestido de fiesta mujer",1,"350%"
"party wear gown",2,"250%"
"vestido de fiesta largo",1,"250%"
"black lace evening dress",1,"160%"
"gold evening dress",4,"160%"
"long evening dress",16,"150%"
"party wear gown for women",1,"150%"
"maternity formal gown",0,"120%"
"white evening dress",5,"120%"
"asos evening gowns",0,"110%"
"red evening dress",5,"110%"
"long sleeve evening dress",5,"100%"
"black formal dresses",2,"90%"
"babyboo",0,"90%"
"elegant dresses for women",1,"90%"
"black formal gown",3,"90%"
"formal dresses",15,"80%"
"red evening dresses",2,"80%"
"party gown for women",1,"70%"
"black evening dress",12,"70%"
"elegant dresses",5,"60%"
"white evening dresses",2,"60%"
"evening gowns near me",1,"60%"
"formal dress",20,"60%"
"evening dress for women",4,"50%"
"long evening dresses",7,"50%"
"evening gown for women",2,"40%"
"evening dress",74,"40%"
"dress",100,"40%"
"azazie",1,"40%"
"black evening gown",5,"30%"
"formal gown",20,"30%"
"formal evening dresses",6,"30%"
"вечерние платья",3,"30%"
"black evening dresses",5,"30%"
"evening gown",38,"30%"
"long gown for women",2,"20%"
"dresses",62,"20%"
"designer evening gowns",1,"20%"
"evening dresses for women",5,"20%"
"formal evening gowns",3,"20%"
"revolve",1,"20%"
"black evening gowns",2,"20%"
"wedding guest dresses",2,"10%"
"meshki",1,"10%"
"asos evening dresses",1,"10%"
"evening dresses",47,"10%"
