"query","search interest","increase percent"
"áo dài",100,"5%"
"mặc áo dài",12,"20%"
"áo dài nam",11,"-10%"
"ao dai",8,"-20%"
"áo dài đẹp",6,"7%"
"áo dài việt nam",6,"-30%"
"ảnh áo dài",5,"10%"
"áo dài nữ",5,"-1%"
"quần áo dài",5,"10%"
"vẽ áo dài",4,"-20%"
"áo dài vẽ",4,"-20%"
"chụp áo dài",4,"10%"
"thuê áo dài",4,"8%"
"áo dài tết",4,"40%"
"áo dài trắng",4,"-4%"
"mẫu áo dài",3,"-20%"
"may áo dài",3,"-7%"
"áo dài cách tân",3,"-20%"
"áo dài cổ",3,"-9%"
"áo dài xanh",3,"10%"
"cổ áo dài",3,"-10%"
"áo dài đỏ",3,"7%"
"vải áo dài",3,"-3%"
"áo dài tay",3,"-5%"
"áo dài học sinh",2,"-20%"
"áo dài truyền thống",2,"-9%"
"áo dài hồng",2,"20%"
"áo dài cưới",2,"-1%"
"áo dài vàng",2,"10%"
"chụp ảnh áo dài",2,"5%"
"áo dài lụa",1,"10%"
"áo dài màu xanh",1,"8%"
"áo dài 2026",1,"Breakout"
"hình ảnh áo dài",1,"3%"
"áo dài cho bé",1,"8%"
"vẽ áo dài nam",1,"-9%"
"áo dài màu hồng",1,"20%"
"mẫu áo dài đẹp",1,"-20%"
"áo dài gấm",1,"-2%"
"áo dài đen",1,"3%"
"cho thuê áo dài",1,"-6%"
"áo dài cô dâu",1,"-10%"
"vẽ áo dài việt nam",1,"-10%"
"vải may áo dài",1,"8%"
"thiết kế áo dài",1,"-5%"
"áo dài nam truyền thống",1,"-10%"
"áo dài nhung",1,"-7%"
"áo ngũ thân",1,"140%"
"cách vẽ áo dài",1,"-10%"
"tạo dáng áo dài",1,"-3%"
